id,source_id,collection,language,model,source_collection,unit_type,original,rewritten,delta,change_pct,known_failed_output
plainvoice-enrichment-svo-v3:99b631e253b638a0f0d1cd12,mcts-references:8a63cf885bb74ca003804efd,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,33,36,3,9.090909090909083,False
plainvoice-enrichment-svo-v3:976a1daa804cdcbed3fd34ca,mcts-references:267c15f5d6600906f5b4c1b4,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,31,26,-5,-16.129032258064512,False
plainvoice-enrichment-svo-v3:49856343468780de5979ce71,mcts-references:e38b49a9faaddeb1baae8984,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,49,51,2,4.081632653061229,False
plainvoice-enrichment-svo-v3:ea491893df6886fb2e188ebf,iterater-human-doc:46dde2ec2804d79d803836f1,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,101,91,-10,-9.9009900990099,False
plainvoice-enrichment-svo-v3:d918682fe87aa0f6f2fbd88d,coedit:59e7a019ffc799c0b135df3e,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,26,41,15,57.692307692307686,False
plainvoice-enrichment-svo-v3:d7833a6ad946ddbd3a02f47d,arxivedits-alignment:7cd47e920da0775824a6d128,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,26,27,1,3.8461538461538547,False
plainvoice-enrichment-svo-v3:6a26cf51509a0bd2086ddd42,asset-references:ddaab11bb7e898c807fb7090,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,10,11,1,10.000000000000009,False
plainvoice-enrichment-svo-v3:039585cefa93fcaae3a060f6,mcts-references:39b106b960f0694da4d8c147,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,54,57,3,5.555555555555558,False
plainvoice-enrichment-svo-v3:eddd8fef055d20cac2e00892,mcts-references:bf2c7d2e66c0d014fe3e191a,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,51,55,4,7.843137254901955,False
plainvoice-enrichment-svo-v3:98346a05e5c8a872e5424496,coedit:7e4a262acdeb4dd0cff0af26,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,12,12,0,0.0,False
plainvoice-enrichment-svo-v3:c2c3c1430c5a8c380107eef1,mcts-references:2d5b10a471e754be6c29f51b,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,34,33,-1,-2.941176470588236,False
plainvoice-enrichment-svo-v3:3d1ae69a78cc1763b82f266c,mcts-references:1e2f4a9c6403d40ea4c25f81,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,53,48,-5,-9.433962264150942,False
plainvoice-enrichment-svo-v3:35c31ca61034087c725aa141,arxivedits-alignment:9b6418d95f60d474d7eceb22,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,16,17,1,6.25,False
plainvoice-enrichment-svo-v3:60037fd0539980076578db19,mcts-references:49b08c142539a68554d89472,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,56,65,9,16.07142857142858,False
plainvoice-enrichment-svo-v3:ef3a8960d22465c08082ce3d,asset-references:ee5c0362b01dd6795d510b39,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,34,33,-1,-2.941176470588236,False
plainvoice-enrichment-svo-v3:0d6e9025d19c1dad3dbd3a83,iterater-human-doc:35651707eeb7f5c12e930bc4,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,105,115,10,9.523809523809534,False
plainvoice-enrichment-svo-v3:f23cd4d69bbe3337503aebdb,mcts-references:d0f9a83a22bfa5ce74837128,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,48,55,7,14.583333333333325,False
plainvoice-enrichment-svo-v3:517a398009d7083509e46db2,coedit:4b249ccffc7018ee9fa4c0ab,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,25,25,0,0.0,False
plainvoice-enrichment-svo-v3:e607767c492834fed7113966,mcts-references:b8f7cf628822f2ca4dbafc07,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,59,63,4,6.779661016949157,False
plainvoice-enrichment-svo-v3:802d9f63804800658bf3d0e7,mcts-references:74059011ffc8a0806d69d5af,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,40,48,8,19.999999999999996,False
plainvoice-enrichment-svo-v3:70829ec27aca4f782f322696,arxivedits-alignment:ee7130f2f9b153fde7d15e76,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,25,25,0,0.0,False
plainvoice-enrichment-svo-v3:8c864b03d206496b776881cf,mcts-references:dd20deff6eb5095f9bc69da9,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,23,25,2,8.695652173913038,False
plainvoice-enrichment-svo-v3:e365b19ed5c0d15f4df68899,asset-references:6022b4e21fe8170f91a67b06,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,8,9,1,12.5,False
plainvoice-enrichment-svo-v3:d622879c8e12adeda1877a33,mcts-references:e64ad8f37c220ba90dd949ad,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,42,48,6,14.28571428571428,False
plainvoice-enrichment-svo-v3:d90ba55b8a67f2808dcd62c8,coedit:5a161b766e2a3569c405020f,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,33,50,17,51.515151515151516,False
plainvoice-enrichment-svo-v3:d137b14ffdeb2a6fe4314186,iterater-human-doc:ce2d58248055836a4c1ccd56,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,160,163,3,1.8750000000000044,False
plainvoice-enrichment-svo-v3:d2915f0d07db8fc5d2b9f77f,mcts-references:241d568d09c16d3e30568073,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,46,40,-6,-13.043478260869568,False
plainvoice-enrichment-svo-v3:e5ffb93747fd0266a0123542,arxivedits-alignment:6bb1d7fe373107bc5100abed,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,21,18,-3,-14.28571428571429,False
plainvoice-enrichment-svo-v3:9ce201a4110cf47cbf068a30,mcts-references:6111d6713d4cc8a99d966e43,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,47,46,-1,-2.127659574468088,False
plainvoice-enrichment-svo-v3:145f7853f5b7997a591885ae,mcts-references:2ba21b93cf28fe7fc7f22709,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,31,34,3,9.677419354838701,False
plainvoice-enrichment-svo-v3:8ae943cd97caeab3c37f7bde,iterater-human-doc:b51f074ab26d2502185cfe0a,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,179,171,-8,-4.469273743016755,False
plainvoice-enrichment-svo-v3:e7bbdd0c52a9c35d73f2622e,mcts-references:87b6f1b1eab1cd873e59aa73,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,28,30,2,7.14285714285714,False
plainvoice-enrichment-svo-v3:e1b64ed7fc627ec021f2f67c,asset-references:00c553c9bdc2969f2b20d1c2,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,40,40,0,0.0,False
plainvoice-enrichment-svo-v3:284c5f3303e740cb1672a5d2,coedit:2a535eb2f5637a4ec73500c4,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,33,35,2,6.060606060606055,False
plainvoice-enrichment-svo-v3:d03dfa58d5ec12805f46078c,mcts-references:fba9feb610c292384957bf01,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,81,86,5,6.172839506172845,False
plainvoice-enrichment-svo-v3:96b99687a3d9f8cc6991f6f9,iterater-human-doc:3094a95a4caacda482312ed1,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,58,66,8,13.793103448275868,False
plainvoice-enrichment-svo-v3:3d3750e3604dd385ee21ab79,arxivedits-alignment:f96bf9763e639edde60d9908,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,28,40,12,42.85714285714286,False
plainvoice-enrichment-svo-v3:035d708aa4269d494ab3f725,mcts-references:98925b794baa97054d11c4ae,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,43,73,30,69.76744186046511,False
plainvoice-enrichment-svo-v3:2fe84a369a058d840f2baa97,mcts-references:0675293b5ee3296d6b11bbed,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,42,49,7,16.666666666666675,False
plainvoice-enrichment-svo-v3:e854603647130ca921a38d19,asset-references:49baf5d58339c318a3d0827e,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,20,23,3,14.999999999999991,False
plainvoice-enrichment-svo-v3:7c7724e91f30114020d95aab,coedit:1848814c90d1dabebd8ba4c0,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,22,16,-6,-27.27272727272727,False
plainvoice-enrichment-svo-v3:968c095017a3a6388a3e7069,mcts-references:4ad6ca4d2162d5f4fbc28591,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,46,47,1,2.1739130434782705,False
plainvoice-enrichment-svo-v3:023f9c00c03cb1f5853aee11,mcts-references:5829153fad774f64b47f0c2d,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,50,58,8,15.999999999999993,False
plainvoice-enrichment-svo-v3:5d00e9484bf520041402e046,mcts-references:8de7a67f8a207af0553af039,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,49,47,-2,-4.081632653061229,False
plainvoice-enrichment-svo-v3:c102f4192ed814106c9b59dd,arxivedits-alignment:d41cee0485fb22e107485609,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,18,21,3,16.666666666666675,False
plainvoice-enrichment-svo-v3:9feaa8581b1ec9a3f3042d10,mcts-references:632bec4523e19e4369916970,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,41,49,8,19.512195121951216,False
plainvoice-enrichment-svo-v3:ec5f9ab758c92c72669b4942,asset-references:a09b22116cb6f8db65d202ca,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,19,19,0,0.0,False
plainvoice-enrichment-svo-v3:55d84e4b11c0a7b4da37061f,mcts-references:e385e5dd7a3012369c6e7653,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,27,60,33,122.22222222222223,False
plainvoice-enrichment-svo-v3:e95d25cb592ea33a146416bf,iterater-human-doc:3a0ea937e9db7fb53edfc1ff,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,132,145,13,9.84848484848484,False
plainvoice-enrichment-svo-v3:f6f62950b78c3249c4371b3b,mcts-references:d61d482af5c22ea605d2fe54,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,24,24,0,0.0,False
plainvoice-enrichment-svo-v3:2713ee132f5828452c5d4614,coedit:18ee0fe55eedb2f3afc79903,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,14,14,0,0.0,False
plainvoice-enrichment-svo-v3:b3bc0f0c275a7a8967d019c9,mcts-references:64b172fc18c6eec1bcb3252d,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,45,48,3,6.666666666666665,False
plainvoice-enrichment-svo-v3:d778a86e9522df322075a06b,arxivedits-alignment:f950eb8c1678546e4772d9e0,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,20,20,0,0.0,False
plainvoice-enrichment-svo-v3:0bde6ecc3f28ce0059e3d496,mcts-references:f6e1f364ade57848b5d24a8e,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,68,84,16,23.529411764705888,False
plainvoice-enrichment-svo-v3:c76d87a7570b906303039d79,asset-references:3f47d6231129dfec0093d038,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,12,13,1,8.333333333333325,False
plainvoice-enrichment-svo-v3:b3545255c5281d69f835f313,mcts-references:748c8c874a52c1b23ebca771,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,44,52,8,18.181818181818187,False
plainvoice-enrichment-svo-v3:cf2ad5ac12f1113f532fedea,iterater-human-doc:2aa73f0345859adce9f83a0b,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,192,207,15,7.8125,False
plainvoice-enrichment-svo-v3:0730e6de15f5d6a37faad00b,mcts-references:53484c2388b4d25405b09a19,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,41,39,-2,-4.878048780487809,False
plainvoice-enrichment-svo-v3:4fa066e883dd7f0930e2bd85,coedit:43125fcca571b3b17f08b97e,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,19,24,5,26.315789473684205,False
plainvoice-enrichment-svo-v3:ecff57d9656410e79771de91,mcts-references:55e2779dfba88dc8abbaeaab,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,71,79,8,11.267605633802823,False
plainvoice-enrichment-svo-v3:5aa1749c8195380a819e641e,arxivedits-alignment:2710a4cf0a71e61cb9022206,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,26,19,-7,-26.923076923076927,False
plainvoice-enrichment-svo-v3:32d51fde38688681f87a62af,mcts-references:0903e5f245c0390277d7c123,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,36,53,17,47.22222222222223,False
plainvoice-enrichment-svo-v3:e38bc68cb52404b660886858,iterater-human-doc:907a6bb82565f188c54afc5b,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,97,111,14,14.432989690721643,False
plainvoice-enrichment-svo-v3:fc4a1b74bdb1234c18df28a3,asset-references:1a81a241a8f82606cd42382b,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,22,26,4,18.181818181818187,False
plainvoice-enrichment-svo-v3:90bb93c0a0e86579a40baa11,mcts-references:0571fcabd6133290b9df9652,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,35,38,3,8.571428571428562,False
plainvoice-enrichment-svo-v3:ea1f25c74142b3a375d85aea,coedit:fff0cbf601b6277f45188b1a,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,17,17,0,0.0,False
plainvoice-enrichment-svo-v3:e5e7c2212b2869d7625a74db,mcts-references:ed379c5dcd0217ba6be24160,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,32,34,2,6.25,False
plainvoice-enrichment-svo-v3:69d37aedfb83dc18fbf963b8,mcts-references:e2ec9383453639e8a77b95c6,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,36,37,1,2.777777777777768,False
plainvoice-enrichment-svo-v3:b39424594f33ae8457267eba,arxivedits-alignment:3fda71de4b042a1bf1d2b659,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,15,12,-3,-19.999999999999996,False
plainvoice-enrichment-svo-v3:5f356d27235e07ebbb04ac58,asset-references:72fb15a31d257febe17dc0c3,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,21,21,0,0.0,False
plainvoice-enrichment-svo-v3:3ab2cb8fec4fb84e1834cd04,mcts-references:0311918ce995c63ad1ddde98,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,48,26,-22,-45.833333333333336,False
plainvoice-enrichment-svo-v3:933bc563951b3308d7d4ca5d,mcts-references:88d6c29170da35e3e37997ac,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,46,71,25,54.347826086956516,False
plainvoice-enrichment-svo-v3:884943c699f39a1be7a56900,mcts-references:3f7351edb0728d4161a7005a,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,31,28,-3,-9.677419354838712,False
plainvoice-enrichment-svo-v3:1d79aed56c5813a7184403ea,coedit:1c6c4c4f00b0f8c2b2e908ff,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,57,66,9,15.789473684210531,False
plainvoice-enrichment-svo-v3:f932e3ac088f5fcf8d06b938,iterater-human-doc:f2627427e77a0e8343329cbc,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,249,254,5,2.008032128514059,False
plainvoice-enrichment-svo-v3:42f94eea37e02f648b501571,mcts-references:684b9c403c40e254b507d6c7,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,41,47,6,14.634146341463406,False
plainvoice-enrichment-svo-v3:ecad5781e9653adefb9f942a,arxivedits-alignment:c8e4ad4fdd9d58d44c1f2de5,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,35,29,-6,-17.14285714285714,False
plainvoice-enrichment-svo-v3:a4d6f2a615da01884973becf,mcts-references:26e3966ffeaffbb24f60e3ec,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,35,31,-4,-11.428571428571432,False
plainvoice-enrichment-svo-v3:c20518021c3f465b471558b0,iterater-human-doc:8dcb5a24932136398ed3ee14,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,141,141,0,0.0,False
plainvoice-enrichment-svo-v3:293d8a330308656b958a38aa,asset-references:f53457c18e1851d21c66e908,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,12,12,0,0.0,False
plainvoice-enrichment-svo-v3:10c77d31c962db347834d4ab,mcts-references:1df2cbc40e984cefe623b0f8,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,30,40,10,33.33333333333333,False
plainvoice-enrichment-svo-v3:0211ba409d072eebd1163952,mcts-references:59a5eb005c00f88c9c052f33,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,55,57,2,3.6363636363636376,False
plainvoice-enrichment-svo-v3:bb5591f4a34c3157ae8df7f6,coedit:9c5c535e6c2213f1c5f487cd,ai-enrichment-units,en,google/gemini-2.5-flash-lite,coedit,instruction-editing-source-unit,32,31,-1,-3.125,False
plainvoice-enrichment-svo-v3:9a183e38477607ef68d33479,mcts-references:35bfca9f5cfafe1479895bcf,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,40,36,-4,-9.999999999999998,False
plainvoice-enrichment-svo-v3:c93f8bdf2df358573071bace,mcts-references:7d8228afd4434c10db062228,ai-enrichment-units,zh,google/gemini-2.5-flash-lite,mcts-references,human-reference-sentence,40,42,2,5.000000000000004,False
plainvoice-enrichment-svo-v3:1c0d9c003567fcd1282c7c2d,arxivedits-alignment:989f5e84a0bff716cef993c8,ai-enrichment-units,en,google/gemini-2.5-flash-lite,arxivedits-alignment,scientific-sentence-revision-unit,34,28,-6,-17.647058823529417,False
plainvoice-enrichment-svo-v3:cf1b60081d4c76865d5d467a,iterater-human-doc:06fae2ed4ee79769dec119ef,ai-enrichment-units,en,google/gemini-2.5-flash-lite,iterater-human-doc,human-document-revision-unit,103,117,14,13.592233009708732,False
plainvoice-enrichment-svo-v3:2899491de68ea9c5e5839c4b,asset-references:1f78e9e3ccc437806a79aaf8,ai-enrichment-units,en,google/gemini-2.5-flash-lite,asset-references,human-reference-sentence,19,31,12,63.1578947368421,False
